index,hashcode,hashname,len,loc_offset,loc_file,path
49,01c50023,HT_File_Char_Enemy_Anim_Berserk,40960,00b40800,00000000,x:\gforce\binary\_bin_pc\cea_berserk.edb
50,01c50001,HT_File_Char_Enemy_Anim_Blender,94208,00b51800,00000000,x:\gforce\binary\_bin_pc\cea_blender.edb
51,01c50029,HT_File_Char_Enemy_Anim_CDPlayer,155648,00bac800,00000000,x:\gforce\binary\_bin_pc\cea_cdplayer.edb
52,01c50021,HT_File_Char_Enemy_Anim_Coffee,102400,00c42800,00000000,x:\gforce\binary\_bin_pc\cea_coffee.edb
53,01c50016,HT_File_Char_Enemy_Anim_CPUFan,34816,00c90800,00000000,x:\gforce\binary\_bin_pc\cea_cpufan.edb
54,01c50010,HT_File_Char_Enemy_Anim_CeilingSpeaker,36864,00c9f800,00000000,x:\gforce\binary\_bin_pc\cea_cspeaker.edb
55,01c50028,HT_File_Char_Enemy_Anim_DeskFan,112640,00caa800,00000000,x:\gforce\binary\_bin_pc\cea_deskfan.edb
56,01c5001b,HT_File_Char_Enemy_Anim_EggFan,49152,00ccf800,00000000,x:\gforce\binary\_bin_pc\cea_eggfan.edb
57,01c50012,HT_File_Char_Enemy_Anim_ExtractorFan,122880,00cea800,00000000,x:\gforce\binary\_bin_pc\cea_extrfan.edb
58,01c5000b,HT_File_Char_Enemy_Anim_FireEx,124928,00d0b000,00000000,x:\gforce\binary\_bin_pc\cea_fireex.edb
59,01c50006,HT_File_Char_Enemy_Anim_Flying,122880,00d5e000,00000000,x:\gforce\binary\_bin_pc\cea_flying.edb
60,01c50019,HT_File_Char_Enemy_Anim_FVacuum,49152,00d7c800,00000000,x:\gforce\binary\_bin_pc\cea_fvacuum.edb
61,01c50005,HT_File_Char_Enemy_Anim_Ground,96256,00da9000,00000000,x:\gforce\binary\_bin_pc\cea_ground.edb
62,01c5002a,HT_File_Char_Enemy_Anim_Head,20480,00dc1000,00000000,x:\gforce\binary\_bin_pc\cea_head.edb
63,01c5001d,HT_File_Char_Enemy_Anim_Iron,53248,00def800,00000000,x:\gforce\binary\_bin_pc\cea_iron.edb
64,01c50004,HT_File_Char_Enemy_Anim_MicrowaveOven,274432,00e59000,00000000,x:\gforce\binary\_bin_pc\cea_micro.edb
65,01c50025,HT_File_Char_Enemy_Anim_Mouse,26624,00ebf800,00000000,x:\gforce\binary\_bin_pc\cea_mouse.edb
66,01c5000d,HT_File_Char_Enemy_Anim_MotionSensor,65536,00ed8800,00000000,x:\gforce\binary\_bin_pc\cea_msensor.edb
67,01c50011,HT_File_Char_Enemy_Anim_MVacuum,178176,00ef4000,00000000,x:\gforce\binary\_bin_pc\cea_mvacuum.edb
68,01c50026,HT_File_Char_Enemy_Anim_RDVAtt,4096,00f45000,00000000,x:\gforce\binary\_bin_pc\cea_rdvatt.edb
69,01c50024,HT_File_Char_Enemy_Anim_RDVTarget,51200,00f4d800,00000000,x:\gforce\binary\_bin_pc\cea_rdvtarg.edb
70,01c50008,HT_File_Char_Enemy_Anim_SatDish,276480,00f5e000,00000000,x:\gforce\binary\_bin_pc\cea_satdish.edb
71,01c5001e,HT_File_Char_Enemy_Anim_SecCamera,6144,00fb3800,00000000,x:\gforce\binary\_bin_pc\cea_seccam.edb
72,01c50018,HT_File_Char_Enemy_Anim_SecDoor,909312,00fb5800,00000000,x:\gforce\binary\_bin_pc\cea_secdoor.edb
73,01c5001f,HT_File_Char_Enemy_Anim_SecTurret,45056,01093800,00000000,x:\gforce\binary\_bin_pc\cea_secturr.edb
74,01c5000e,HT_File_Char_Enemy_Anim_Shaver,69632,010a0800,00000000,x:\gforce\binary\_bin_pc\cea_shaver.edb
75,01c50013,HT_File_Char_Enemy_Anim_Shredder,47104,010e1000,00000000,x:\gforce\binary\_bin_pc\cea_shred.edb
76,01c50007,HT_File_Char_Enemy_Anim_Static,145408,01115000,00000000,x:\gforce\binary\_bin_pc\cea_static.edb
77,01c50014,HT_File_Char_Enemy_Anim_TableLamp,149504,0113a000,00000000,x:\gforce\binary\_bin_pc\cea_tlamp.edb
78,01c50002,HT_File_Char_Enemy_Anim_Toaster,159744,0116c800,00000000,x:\gforce\binary\_bin_pc\cea_toaster.edb
79,01c5001c,HT_File_Char_Enemy_Anim_Torch,38912,01202000,00000000,x:\gforce\binary\_bin_pc\cea_torch.edb
80,01c50003,HT_File_Char_Enemy_Anim_Waffler,38912,01234800,00000000,x:\gforce\binary\_bin_pc\cea_waffler.edb
81,01c5000a,HT_File_Char_Enemy_Anim_WaterCooler,176128,01246000,00000000,x:\gforce\binary\_bin_pc\cea_wcooler.edb
82,01c5000f,HT_File_Char_Enemy_Anim_WallSpeaker,337920,012ab000,00000000,x:\gforce\binary\_bin_pc\cea_wspeaker.edb
83,01c50022,HT_File_Char_Enemy_Anim_ZombieComputer,102400,0136f800,00000000,x:\gforce\binary\_bin_pc\cea_zcompu.edb
84,01c60002,HT_File_Char_Enemy_Skin_Aircon,718848,01404800,00000000,x:\gforce\binary\_bin_pc\ces_aircon.edb
85,01c60023,HT_File_Char_Enemy_Skin_AirFreshenerBW,542720,014ef000,00000000,x:\gforce\binary\_bin_pc\ces_airfbw.edb
86,01c60003,HT_File_Char_Enemy_Skin_AirFreshener,595968,01574000,00000000,x:\gforce\binary\_bin_pc\ces_airfsh.edb
87,01c6001f,HT_File_Char_Enemy_Skin_AlarmClock,421888,01606000,00000000,x:\gforce\binary\_bin_pc\ces_alarm.edb
88,01c60004,HT_File_Char_Enemy_Skin_Berserk,450560,0166d800,00000000,x:\gforce\binary\_bin_pc\ces_berserk.edb
89,01c60005,HT_File_Char_Enemy_Skin_Blender,2250752,016dc000,00000000,x:\gforce\binary\_bin_pc\ces_blender.edb
90,01c60021,HT_File_Char_Enemy_Skin_CDPlayer,1507328,01902000,00000000,x:\gforce\binary\_bin_pc\ces_cdplayer.edb
91,01c60006,HT_File_Char_Enemy_Skin_Coffee,1437696,01a72800,00000000,x:\gforce\binary\_bin_pc\ces_coffee.edb
92,01c60007,HT_File_Char_Enemy_Skin_CPUFan,258048,01bd2000,00000000,x:\gforce\binary\_bin_pc\ces_cpufan.edb
93,01c60008,HT_File_Char_Enemy_Skin_CeilingSpeaker,518144,01c11800,00000000,x:\gforce\binary\_bin_pc\ces_cspeaker.edb
94,01c60020,HT_File_Char_Enemy_Skin_DeskFan,970752,01c90800,00000000,x:\gforce\binary\_bin_pc\ces_deskfan.edb
95,01c60009,HT_File_Char_Enemy_Skin_EggFan,1290240,01d7e000,00000000,x:\gforce\binary\_bin_pc\ces_eggfan.edb
96,01c6000a,HT_File_Char_Enemy_Skin_ExtractorFan,481280,01eb9800,00000000,x:\gforce\binary\_bin_pc\ces_extrfan.edb
97,01c6000b,HT_File_Char_Enemy_Skin_FireEx,1169408,01f2f800,00000000,x:\gforce\binary\_bin_pc\ces_fireex.edb
98,01c6001d,HT_File_Char_Enemy_Skin_FlyZapper,372736,0204d800,00000000,x:\gforce\binary\_bin_pc\ces_flyzap.edb
99,01c6000c,HT_File_Char_Enemy_Skin_FVacuum,804864,020a8800,00000000,x:\gforce\binary\_bin_pc\ces_fvacuum.edb
100,01c60022,HT_File_Char_Enemy_Skin_Head,503808,0216d800,00000000,x:\gforce\binary\_bin_pc\ces_head.edb
101,01c6000d,HT_File_Char_Enemy_Skin_Iron,1138688,021e9000,00000000,x:\gforce\binary\_bin_pc\ces_iron.edb
102,01c60027,HT_File_Char_Enemy_Skin_Iron_BW,972800,022ff800,00000000,x:\gforce\binary\_bin_pc\ces_iron_bw.edb
103,01c6000e,HT_File_Char_Enemy_Skin_MicrowaveOven,512000,023ed800,00000000,x:\gforce\binary\_bin_pc\ces_micro.edb
104,01c6001c,HT_File_Char_Enemy_Skin_Mouse,327680,0246b000,00000000,x:\gforce\binary\_bin_pc\ces_mouse.edb
105,01c6000f,HT_File_Char_Enemy_Skin_MotionSensor,532480,024bb800,00000000,x:\gforce\binary\_bin_pc\ces_msensor.edb
106,01c60001,HT_File_Char_Enemy_Skin_MVacuum,673792,0253e000,00000000,x:\gforce\binary\_bin_pc\ces_mvacuum.edb
107,01c6001e,HT_File_Char_Enemy_Skin_RDVAtt,677888,025e3000,00000000,x:\gforce\binary\_bin_pc\ces_rdvatt.edb
108,01c60010,HT_File_Char_Enemy_Skin_SatDish,706560,02689000,00000000,x:\gforce\binary\_bin_pc\ces_satdish.edb
109,01c60011,HT_File_Char_Enemy_Skin_SecCamera,387072,02736000,00000000,x:\gforce\binary\_bin_pc\ces_seccam.edb
110,01c60012,HT_File_Char_Enemy_Skin_SecTurret,342016,02795000,00000000,x:\gforce\binary\_bin_pc\ces_secturr.edb
111,01c60013,HT_File_Char_Enemy_Skin_Shaver,632832,027e9000,00000000,x:\gforce\binary\_bin_pc\ces_shaver.edb
112,01c60014,HT_File_Char_Enemy_Skin_Shredder,1089536,02884000,00000000,x:\gforce\binary\_bin_pc\ces_shred.edb
113,01c60024,HT_File_Char_Enemy_Skin_TableLampBW,1286144,0298e800,00000000,x:\gforce\binary\_bin_pc\ces_tlambw.edb
114,01c60015,HT_File_Char_Enemy_Skin_TableLamp,968704,02ac9000,00000000,x:\gforce\binary\_bin_pc\ces_tlamp.edb
115,01c60025,HT_File_Char_Enemy_Skin_ToasterBW,718848,02bb6000,00000000,x:\gforce\binary\_bin_pc\ces_toasbw.edb
116,01c60016,HT_File_Char_Enemy_Skin_Toaster,755712,02c66000,00000000,x:\gforce\binary\_bin_pc\ces_toaster.edb
117,01c60017,HT_File_Char_Enemy_Skin_Torch,776192,02d1f000,00000000,x:\gforce\binary\_bin_pc\ces_torch.edb
118,01c60018,HT_File_Char_Enemy_Skin_Waffler,798720,02ddd000,00000000,x:\gforce\binary\_bin_pc\ces_waffler.edb
119,01c60019,HT_File_Char_Enemy_Skin_WaterCooler,1077248,02ea0800,00000000,x:\gforce\binary\_bin_pc\ces_wcooler.edb
120,01c6001a,HT_File_Char_Enemy_Skin_WallSpeaker,284672,02fa8000,00000000,x:\gforce\binary\_bin_pc\ces_wspeaker.edb
121,01c60026,HT_File_Char_Enemy_Skin_ZombieComputerBW,1982464,02fee000,00000000,x:\gforce\binary\_bin_pc\ces_zcombw.edb
122,01c6001b,HT_File_Char_Enemy_Skin_ZombieComputer,2279424,031d2800,00000000,x:\gforce\binary\_bin_pc\ces_zcompu.edb
123,01be0001,HT_File_Char_NPC_Anim_Human,51200,033ff800,00000000,x:\gforce\binary\_bin_pc\cna_human.edb
124,01be0002,HT_File_Char_NPC_Anim_Swat,14336,0345d000,00000000,x:\gforce\binary\_bin_pc\cna_swat.edb
125,01c00019,HT_File_Char_NPC_Skin_Assistant,856064,034d9000,00000000,x:\gforce\binary\_bin_pc\cns_assis.edb
126,01c0000e,HT_File_Char_NPC_Skin_Boy,874496,035aa800,00000000,x:\gforce\binary\_bin_pc\cns_boy.edb
127,01c00017,HT_File_Char_NPC_Skin_Chef1,884736,03680800,00000000,x:\gforce\binary\_bin_pc\cns_chef1.edb
128,01c00018,HT_File_Char_NPC_Skin_Chef2,890880,0375a800,00000000,x:\gforce\binary\_bin_pc\cns_chef2.edb
129,01c0001b,HT_File_Char_NPC_Skin_Executive1,890880,03836000,00000000,x:\gforce\binary\_bin_pc\cns_exe1.edb
130,01c0001c,HT_File_Char_NPC_Skin_Executive2,716800,03911800,00000000,x:\gforce\binary\_bin_pc\cns_exe2.edb
131,01c0001d,HT_File_Char_NPC_Skin_FBIAgent1,839680,039c2800,00000000,x:\gforce\binary\_bin_pc\cns_fbi1.edb
132,01c0001e,HT_File_Char_NPC_Skin_FBIAgent2,901120,03a91800,00000000,x:\gforce\binary\_bin_pc\cns_fbi2.edb
133,01c0000d,HT_File_Char_NPC_Skin_Female1,870400,03b6f800,00000000,x:\gforce\binary\_bin_pc\cns_female1.edb
134,01c0001f,HT_File_Char_NPC_Skin_Guard1,1910784,03c44800,00000000,x:\gforce\binary\_bin_pc\cns_grd1.edb
135,01c00012,HT_File_Char_NPC_Skin_Male1,897024,03e19000,00000000,x:\gforce\binary\_bin_pc\cns_male1.edb
136,01c00013,HT_File_Char_NPC_Skin_News,886784,03ef6000,00000000,x:\gforce\binary\_bin_pc\cns_news.edb
137,01c00011,HT_File_Char_NPC_Skin_Newscaster,897024,03fd0800,00000000,x:\gforce\binary\_bin_pc\cns_nwsr.edb
138,01c00009,HT_File_Char_NPC_Skin_Saber,1425408,040ad800,00000000,x:\gforce\binary\_bin_pc\cns_saber.edb
139,01c00021,HT_File_Char_NPC_Skin_Sarm,854016,0420b800,00000000,x:\gforce\binary\_bin_pc\cns_sarm.edb
140,01c00008,HT_File_Char_NPC_Skin_Scientist1Girl,1036288,042dc800,00000000,x:\gforce\binary\_bin_pc\cns_sci1girl.edb
141,01c00005,HT_File_Char_NPC_Skin_Scientist2,1015808,043da000,00000000,x:\gforce\binary\_bin_pc\cns_sci2.edb
142,01c00002,HT_File_Char_NPC_Skin_Security1,1939456,044d2800,00000000,x:\gforce\binary\_bin_pc\cns_secu1.edb
143,01c00004,HT_File_Char_NPC_Skin_Security2,876544,046ae000,00000000,x:\gforce\binary\_bin_pc\cns_secu2.edb
144,01c0000a,HT_File_Char_NPC_Skin_Security3,899072,04784800,00000000,x:\gforce\binary\_bin_pc\cns_secu3.edb
145,01c0000b,HT_File_Char_NPC_Skin_Security4,892928,04860800,00000000,x:\gforce\binary\_bin_pc\cns_secu4.edb
146,01c0000f,HT_File_Char_NPC_Skin_Sman1,892928,0493b000,00000000,x:\gforce\binary\_bin_pc\cns_sman1.edb
147,01c00010,HT_File_Char_NPC_Skin_Sman2,901120,04a17000,00000000,x:\gforce\binary\_bin_pc\cns_sman2.edb
148,01c00003,HT_File_Char_NPC_Skin_Swat1,1402880,04af5000,00000000,x:\gforce\binary\_bin_pc\cns_swat1.edb
149,01c00006,HT_File_Char_NPC_Skin_Swat2,1126400,04c4c000,00000000,x:\gforce\binary\_bin_pc\cns_swat2.edb
150,01c0000c,HT_File_Char_NPC_Skin_Swat3,1036288,04d5f800,00000000,x:\gforce\binary\_bin_pc\cns_swat3.edb
151,01c0001a,HT_File_Char_NPC_Skin_Woman1,526336,04e5d000,00000000,x:\gforce\binary\_bin_pc\cns_woma1.edb
152,01bb0003,HT_File_Char_Player_Anim_GPig,204800,04ede000,00000000,x:\gforce\binary\_bin_pc\cpa_gpig.edb
153,01bb0005,HT_File_Char_Player_Anim_Mooch,40960,050f1000,00000000,x:\gforce\binary\_bin_pc\cpa_mooch.edb
154,01bd0009,HT_File_Char_Player_Skin_Blaster,1187840,0511b000,00000000,x:\gforce\binary\_bin_pc\cps_blaster.edb
155,01bd0006,HT_File_Char_Player_Skin_Darwin,1792000,05289800,00000000,x:\gforce\binary\_bin_pc\cps_darwin.edb
156,01bd000a,HT_File_Char_Player_Skin_Hurley,1241088,0543f800,00000000,x:\gforce\binary\_bin_pc\cps_hurley.edb
157,01bd0008,HT_File_Char_Player_Skin_Juarez,1421312,055b5000,00000000,x:\gforce\binary\_bin_pc\cps_juarez.edb
158,01bd0004,HT_File_Char_Player_Skin_Mooch,473088,05749000,00000000,x:\gforce\binary\_bin_pc\cps_mooch.edb
159,01bd000b,HT_File_Char_Player_Skin_Spec,940032,057bd000,00000000,x:\gforce\binary\_bin_pc\cps_spec.edb
160,01bd0003,HT_File_Char_Player_Skin_Temp,733184,058dc000,00000000,x:\gforce\binary\_bin_pc\cps_temp.edb
161,01050032,HT_File_CS_Darwin,1759232,0598f800,00000000,x:\gforce\binary\_bin_pc\cs_darwin.edb
162,01050094,HT_File_CS_Gen_005,221184,05b60000,00000000,x:\gforce\binary\_bin_pc\cs_gen_005.edb
163,0105009d,HT_File_CS_Gen_010,10240,05ba4800,00000000,x:\gforce\binary\_bin_pc\cs_gen_010.edb
164,010500a7,HT_File_CS_Gen_015,8192,05bb3000,00000000,x:\gforce\binary\_bin_pc\cs_gen_015.edb
165,01050046,HT_File_CS_Jbm_010,8679424,05bc5000,00000000,x:\gforce\binary\_bin_pc\cs_jbm_010.edb
166,01050081,HT_File_CS_Jumps,4096,06442800,00000000,x:\gforce\binary\_bin_pc\cs_jumps.edb
167,0105002a,HT_File_CS_L01_010,352256,06443800,00000000,x:\gforce\binary\_bin_pc\cs_l01_010.edb
168,010500a4,HT_File_CS_L01_015,14336,064b9800,00000000,x:\gforce\binary\_bin_pc\cs_l01_015.edb
169,0105002b,HT_File_CS_L01_020,69632,064ca000,00000000,x:\gforce\binary\_bin_pc\cs_l01_020.edb
170,01050093,HT_File_CS_L02_005,849920,06556800,00000000,x:\gforce\binary\_bin_pc\cs_l02_005.edb
171,0105002c,HT_File_CS_L02_010,317440,0667c800,00000000,x:\gforce\binary\_bin_pc\cs_l02_010.edb
172,01050037,HT_File_CS_L02_012,862208,0675b800,00000000,x:\gforce\binary\_bin_pc\cs_l02_012.edb
173,0105003c,HT_File_CS_L02_013,1077248,06866000,00000000,x:\gforce\binary\_bin_pc\cs_l02_013.edb
174,0105003d,HT_File_CS_L02_014,10240,069ae800,00000000,x:\gforce\binary\_bin_pc\cs_l02_014.edb
175,0105003e,HT_File_CS_L02_015,2381824,069c5000,00000000,x:\gforce\binary\_bin_pc\cs_l02_015.edb
176,01050031,HT_File_CS_L02_020,94208,06ca5800,00000000,x:\gforce\binary\_bin_pc\cs_l02_020.edb
177,01050098,HT_File_CS_L02_025,862208,06cc7000,00000000,x:\gforce\binary\_bin_pc\cs_l02_025.edb
178,0105002d,HT_File_CS_L02_030,14336,06dc4000,00000000,x:\gforce\binary\_bin_pc\cs_l02_030.edb
179,010500a2,HT_File_CS_L02_035,98304,06de4000,00000000,x:\gforce\binary\_bin_pc\cs_l02_035.edb
180,010500a6,HT_File_CS_L02_038,96256,06e06800,00000000,x:\gforce\binary\_bin_pc\cs_l02_038.edb
181,0105002e,HT_File_CS_L02_040,12288,06e28800,00000000,x:\gforce\binary\_bin_pc\cs_l02_040.edb
182,01050030,HT_File_CS_L02_045,647168,06e4b800,00000000,x:\gforce\binary\_bin_pc\cs_l02_045.edb
183,01050039,HT_File_CS_L02_048,278528,07006000,00000000,x:\gforce\binary\_bin_pc\cs_l02_048.edb
184,01050083,HT_File_CS_L02_049,12288,070a2000,00000000,x:\gforce\binary\_bin_pc\cs_l02_049.edb
185,0105002f,HT_File_CS_L02_050,352256,070ba800,00000000,x:\gforce\binary\_bin_pc\cs_l02_050.edb
186,0105003a,HT_File_CS_L03_010,30720,0713d800,00000000,x:\gforce\binary\_bin_pc\cs_l03_010.edb
187,01050049,HT_File_CS_L03_012,22528,0718e000,00000000,x:\gforce\binary\_bin_pc\cs_l03_012.edb
188,01050045,HT_File_CS_L03_020,129024,071c3800,00000000,x:\gforce\binary\_bin_pc\cs_l03_020.edb
189,01050085,HT_File_CS_L03_022,104448,071ea000,00000000,x:\gforce\binary\_bin_pc\cs_l03_022.edb
190,01050086,HT_File_CS_L03_023,524288,07226800,00000000,x:\gforce\binary\_bin_pc\cs_l03_023.edb
191,0105009a,HT_File_CS_L03_024,10240,07349000,00000000,x:\gforce\binary\_bin_pc\cs_l03_024.edb
192,0105004e,HT_File_CS_L03_025,337920,07357000,00000000,x:\gforce\binary\_bin_pc\cs_l03_025.edb
193,01050087,HT_File_CS_L03_026,493568,073f5800,00000000,x:\gforce\binary\_bin_pc\cs_l03_026.edb
194,0105003b,HT_File_CS_L03_030,434176,07474000,00000000,x:\gforce\binary\_bin_pc\cs_l03_030.edb
195,010500a3,HT_File_CS_L03_035,12288,074f7800,00000000,x:\gforce\binary\_bin_pc\cs_l03_035.edb
196,0105003f,HT_File_CS_L03_040,10240,07508800,00000000,x:\gforce\binary\_bin_pc\cs_l03_040.edb
197,01050096,HT_File_CS_L03_047,108544,0751e800,00000000,x:\gforce\binary\_bin_pc\cs_l03_047.edb
198,01050042,HT_File_CS_L03_050,116736,076e9000,00000000,x:\gforce\binary\_bin_pc\cs_l03_050.edb
199,01050043,HT_File_CS_L03_060,118784,0770a800,00000000,x:\gforce\binary\_bin_pc\cs_l03_060.edb
200,01050040,HT_File_CS_L03_070,81920,0772e000,00000000,x:\gforce\binary\_bin_pc\cs_l03_070.edb
201,01050041,HT_File_CS_L03_080,131072,078be800,00000000,x:\gforce\binary\_bin_pc\cs_l03_080.edb
202,01050084,HT_File_CS_L03_100,30720,0791f800,00000000,x:\gforce\binary\_bin_pc\cs_l03_100.edb
203,0105005b,HT_File_CS_L04_010,374784,07962000,00000000,x:\gforce\binary\_bin_pc\cs_l04_010.edb
204,0105007b,HT_File_CS_L04_020,417792,07a43000,00000000,x:\gforce\binary\_bin_pc\cs_l04_020.edb
205,01050099,HT_File_CS_L04_025,49152,07c5c800,00000000,x:\gforce\binary\_bin_pc\cs_l04_025.edb
206,01050088,HT_File_CS_L04_030,247808,07cea800,00000000,x:\gforce\binary\_bin_pc\cs_l04_030.edb
207,0105005c,HT_File_CS_L04_040,100352,07d2a000,00000000,x:\gforce\binary\_bin_pc\cs_l04_040.edb
208,01050078,HT_File_CS_L04_050,864256,07d66000,00000000,x:\gforce\binary\_bin_pc\cs_l04_050.edb
209,01050060,HT_File_CS_L04_060,104448,07ec9800,00000000,x:\gforce\binary\_bin_pc\cs_l04_060.edb
210,01050062,HT_File_CS_L04_070,83968,07f12800,00000000,x:\gforce\binary\_bin_pc\cs_l04_070.edb
211,01050075,HT_File_CS_L05_010,16384,08015000,00000000,x:\gforce\binary\_bin_pc\cs_l05_010.edb
212,01050071,HT_File_CS_L05_020,237568,08020800,00000000,x:\gforce\binary\_bin_pc\cs_l05_020.edb
213,01050074,HT_File_CS_L05_030,81920,0805e000,00000000,x:\gforce\binary\_bin_pc\cs_l05_030.edb
214,010500a0,HT_File_CS_L05_035,12288,08178000,00000000,x:\gforce\binary\_bin_pc\cs_l05_035.edb
215,01050033,HT_File_CS_Placeholder,4096,08190000,00000000,x:\gforce\binary\_bin_pc\cs_phold.edb
